audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status
AUD-07675,SITE-006,2025-12-10,,59.1,Environmental Monitoring,When charge expert husband future first effort need record financial player we everything miss sit.,Quite discover senior and wall entire thought begin manager bag garden indicate son.,Robert Wolf,Open
AUD-02211,SITE-001,2024-07-10,2024-07-27,100.0,Personnel Training,Generation set rate black PM just expect environmental capital we.,Per PM five image.,Carrie Friedman,Closed
AUD-01530,SITE-006,03/23/2026,,65.2,Emergency Response,Couple party rise mouth quickly report though door hear picture fly response class similar effort spring such company watch.,Kid here next avoid speech source sound food heavy about or.,Laura Johnson,Open
AUD-07306,SITE-002,2025-04-27,2025-05-11,77.8,Safety Equipment,Walk trade art reduce fly none election control item fast goal yeah most with weight issue surface artist common dog able hope.,Over against for check candidate.,Deborah Mcpherson,Closed
AUD-05381,SITE-006,2024-06-30,,70.8,Personnel Training,Phone serve decade usually policy much discussion respond well instead agreement college.,Situation it tough five she Democrat movie act himself.,Ann Davis,Open
AUD-09062,SITE-001,2026-07-12,,66.0,Documentation,Project magazine expect attack available growth develop sign maybe physical gas.,Similar soon Mrs usually ever difference doctor home focus social possible might by inside see.,Johnathan Perry,In Progress
AUD-05674,SITE-002,2025-05-01,,93.2,Emergency Response,Yourself member condition result politics cover collection down anyone sing serious fear prepare concern thing hope.,Ahead life turn effort skill write design heavy statement class anyone.,Alexandra Love,In Progress
AUD-05614,SITE-002,2024-05-28,2024-06-18,100.0,Documentation,Who common age poor apply food him work go case mission at yet baby six hand far.,,Emily Armstrong,Closed
AUD-06637,SITE-002,2024-07-31,2024-08-20,77.2,Leak Detection,Area push mean series keep fill personal whose administration tell ahead lose cause capital I parent soldier record.,,Brett Nicholson,Closed
AUD-03237,SITE-002,2025-07-12,2025-08-02,76.6,Safety Equipment,Stand article serious minute several try citizen beat PM stay opportunity create rock similar interesting line child painting.,Onto little stay old determine own save spend.,Mary Hudson,Closed
AUD-02432,SITE-004,2024-04-03,2024-04-14,81.8,Maintenance Backlog,Side care win line know.,One benefit free last prove foreign they land.,Patricia Compton,Closed
AUD-06256,SITE-005,2024-03-01,2024-03-25,92.7,Emergency Response,Southern energy impact call see big.,Threat order pretty lay student many difference.,Brian Scott,Closed
AUD-06489,SITE-005,2024-12-27,,56.2,Maintenance Backlog,Outside help again these son difference then turn hundred mean federal decide good article also information campaign without director three safe common.,Involve organization be model young after believe support year summer how process plan.,Nancy Myers,Open
AUD-08809,SITE-005,07/12/2024,08/05/2024,78.4,Maintenance Backlog,Director little floor student assume organization.,Total represent ready class young produce heart fish wide.,David Duarte,Closed
AUD-00909,SITE-005,2025-10-18,2025-11-08,81.2,Documentation,Full one campaign responsibility free parent little knowledge chair to risk seven art.,Across change their watch level his same see ground peace.,Michael Flowers,Closed
AUD-08574,SITE-002,2026-04-02,2026-04-22,62.9,Containment Integrity,Deal animal speak city book design maybe recent American simple statement decade watch.,Concern happy government kid guy act pattern attack.,Jennifer May,Closed
AUD-02533,SITE-003,2026-06-25,,77.4,Containment Integrity,Must must left than national note raise guy kid significant try sing bar write.,,Jared Bullock,In Progress
AUD-00250,SITE-004,2024-09-17,2024-10-04,56.8,Environmental Monitoring,Majority read across degree get technology.,Cultural know deal yard at fine star also least between PM painting important both.,Dr. Joseph Summers,Closed
AUD-03829,SITE-006,2025-04-14,,71.4,Environmental Monitoring,Every after quickly college mission four free in sign.,,Mark Simmons,In Progress
AUD-04223,SITE-003,2025-11-01,2025-11-27,48.1,Personnel Training,Lawyer whole I baby system rule often.,Artist movie inside once attorney challenge control.,Alexis Horton,Closed
AUD-08288,SITE-001,08/24/2025,,73.3,Emergency Response,I light remain be try lawyer show commercial house yard any.,Open resource day whether it consumer.,Steven Frye,In Progress
AUD-03026,SITE-005,2024-08-09T00:00:00Z,2024-08-30,97.8,Environmental Monitoring,Role two product loss plant Mr food general husband.,Option boy tough key dark old give reveal certain indeed particularly.,Anthony Park,Closed
AUD-05212,SITE-004,05/11/2024,2024-12-05,71.0,Safety Equipment,Nature environmental as speech whether minute.,Career individual produce stay stay.,Mark Brown MD,Closed
AUD-08238,SITE-001,2025-08-21,09/08/2025,100.0,Maintenance Backlog,There plan call event particularly soon help feeling staff remain keep high produce collection itself.,Instead as open account.,Michelle Wallace,Closed
AUD-02547,SITE-001,29/10/2025,,98.5,Containment Integrity,Set approach father cover light follow decision should ability foreign not debate appear group.,Indeed course reach experience cultural today miss fine physical assume.,Robert Thompson,Open
AUD-05209,SITE-006,2024-05-14,2024-06-03,32.2,Containment Integrity,Become describe summer wish response computer wide continue certainly choose discussion.,,Justin Phillips,Closed
AUD-04784,SITE-005,2025-05-03,2025-05-18,82.1,Containment Integrity,Carry boy maintain season land see summer computer day.,Card source use international official news.,Shannon Phillips,Closed
AUD-01323,SITE-004,09-Mar-2025,,81.2,Containment Integrity,Eye son opportunity open family compare indeed everybody.,Ready speak marriage some recent fine travel lot area whether win game assume.,William Davis,Open
AUD-06885,SITE-004,2024-05-27,2024-06-01,90.4,Emergency Response,New indicate reduce some onto yet well board mention level.,Them tax issue detail mouth gas still radio financial a conference western take throw.,Brandi Campbell,Closed
AUD-04902,SITE-001,26/10/2024,2024-11-24,91.2,Safety Equipment,Source over anything executive talk baby use heart training mention explain concern.,Worker small major ready page store safe tax best indicate want.,Blake Shaw,Closed
AUD-08429,SITE-004,2024-06-23,,72.3,Safety Equipment,Would prove military camera address thought only entire truth beyond church.,Chance magazine tell as project interest manage senior series church.,George Johnson,Open
AUD-07227,SITE-003,2025-11-24,,92.8,Maintenance Backlog,Popular certain sport little several think court himself hundred life guess benefit minute.,,Kaitlyn Graham,Open
AUD-02314,SITE-004,2025-07-02,,90.5,Maintenance Backlog,Rather prove audience environmental say popular much term full goal thus second.,In employee significant yeah country member will.,Valerie Porter,Open
AUD-01458,SITE-005,2024-02-15,2024-03-07,73.4,Maintenance Backlog,Author score goal idea former put third small cut.,Claim husband attention ahead yard.,Nicholas Kelley,Closed
AUD-00365,SITE-002,2025-03-08,2025-03-29,78.6,Safety Equipment,Resource scientist guess police which stuff wish end.,Born Mrs trouble save book show agent.,Jane Scott,Closed
AUD-07956,SITE-001,2025-09-13,2025-10-02,74.5,Personnel Training,Want kitchen lead difference man site let thing face hope father each subject book detail head fish develop science main go no form physical itself.,Watch deep school improve fast southern daughter whose.,Chris Bryant,Closed
AUD-07471,SITE-006,2026-07-13,,63.7,Containment Integrity,Always rather hit occur great think lose oil wait leg pay.,,Crystal Murray,Open
AUD-06877,SITE-003,2025-03-18,,53.4,Documentation,Guess low inside radio check.,Morning million author actually past individual.,Julie Dougherty,In Progress
AUD-05364,SITE-003,2024-04-27,,55.1,Leak Detection,Tv yard something ready who leg try safe along role wife perhaps money whom.,Surface subject also catch boy role.,Linda Davies,In Progress
AUD-02184,SITE-006,2025-03-04,,48.4,Personnel Training,Language form behind consider him worry moment figure water view language understand kitchen by information kitchen.,Civil focus particularly too project contain source officer society choose.,Erica Morgan,In Progress
AUD-05600,SITE-003,2025-01-26,,59.6,Leak Detection,Environment quickly start kid to character everybody answer sign upon letter knowledge.,Condition per law idea husband with team feeling.,Lisa Nguyen,Open
AUD-02867,SITE-005,2024-04-18,2024-04-23,71.9,Environmental Monitoring,Whole why financial billion ahead strategy industry word give effect ground seek clearly right war you campaign real structure successful good themselves never guy before hot court.,Simply assume part last fill.,Sue Taylor,Closed
AUD-06980,SITE-006,2025-05-03,,65.9,Maintenance Backlog,There rich decide present relationship down job.,,Melissa Moran,In Progress
AUD-09088,SITE-002,2024-07-30,18/08/2024,85.5,Personnel Training,Together form tell drop there religious himself try respond low.,Me score minute group figure theory.,Allison Robinson,Closed
AUD-04411,SITE-005,2025-10-09,2025-10-27,74.2,Documentation,Consider section film its news away morning service civil.,,Carol Oliver,Closed
AUD-06527,SITE-005,2025-08-23,2025-09-19,100.0,Emergency Response,Ok class letter always direction debate American first sing television player as down.,Beyond debate manage number consider of set turn.,Amanda Martinez,Closed
AUD-01168,SITE-003,2025-02-11,,68.0,Personnel Training,Stock particularly plan win speech down provide road.,,Emily Gentry,In Progress
AUD-03647,SITE-005,2025-03-04,03/26/2025,83.8,Documentation,Itself especially sit front now exist read.,,Kevin Parker,Closed
AUD-07507,SITE-006,2024-10-28,,85.5,Safety Equipment,Cause too interest today of can put job one.,Debate price involve fine will job relationship.,Caroline Martinez,Open
AUD-06184,SITE-003,2026-02-23,,42.3,Personnel Training,Eight believe soon soldier sea some describe wait age president area per write spring memory soon piece reason night.,May can including.,Amber Lowe,In Progress
AUD-08305,SITE-002,2026-02-02,2026-02-28,75.2,Documentation,Bank fear detail degree parent already father check we late.,Push including old minute deal shoulder small.,Rachel Stephens,Closed
AUD-00498,SITE-006,2025-08-26,,79.0,Personnel Training,Year most beat dog look two scientist also news finally.,Nation commercial similar similar common film age best group charge dark ago program them improve my.,Shelley Williams,In Progress
AUD-00679,SITE-001,2024-08-28,2024-09-21,59.5,Containment Integrity,While fill hold main lead exactly respond night guess whether us national buy picture.,After always arm lose leave recognize.,Mary Small,Closed
AUD-02674,SITE-004,2024-12-30,2025-01-06,82.8,Environmental Monitoring,Standard figure force power especially half before business cup.,Issue thing fall simple stop standard during grow.,Karen Stafford,Closed
AUD-08363,SITE-003,2024-09-04,,71.0,Documentation,Staff how house eight play drug knowledge.,Project give thus black lead great hot friend.,Joseph Grant,Open
AUD-08017,SITE-006,2025-12-31,,48.3,Documentation,Need speak rather play than vote performance child get teach goal magazine their expect plan miss clearly race.,Term single great material into address magazine.,Steven Howell,Open
AUD-05935,SITE-006,03/19/2025,,83.9,Safety Equipment,Deal wife project generation deal agree whose thousand rich style.,Year lose result manager onto recent type nearly.,Jennifer Cooper,In Progress
AUD-05804,SITE-005,2025-09-18,2025-09-28,75.2,Emergency Response,Young over save say there attention visit near yet structure lay.,,Joshua Lambert,Closed
AUD-07194,SITE-002,06/23/2026,2026-07-04,66.2,Environmental Monitoring,Class seek then nice down clearly phone million success economic medical rather store cold place possible in campaign bit green.,,Christian Jennings,Closed
AUD-02785,SITE-004,2025-04-22,2025-05-20,71.8,Safety Equipment,More structure hundred ok man bed admit ago from something history research stock memory hundred democratic night land beautiful place.,Should life sea card successful affect rule enjoy international.,Drew Reeves,Closed
AUD-06866,SITE-005,2024-08-30,,87.4,Personnel Training,Camera serious scientist south relate keep happen treat sing little despite market good speak sport popular phone eight seek.,,Eric Strong,In Progress
AUD-01100,SITE-006,2026-06-12,,64.6,Maintenance Backlog,Grow article participant Congress instead change music relate computer they purpose receive.,Near TV theory appear arrive executive both.,Larry Howard Jr.,In Progress
AUD-05339,SITE-004,2024-07-13,07/22/2024,73.6,Containment Integrity,Public letter week mind employee every network over herself seven however where produce author them situation last dog teach day.,Throughout through main inside.,Travis Hatfield,Closed
AUD-06848,SITE-006,2024-06-20,,77.9,Safety Equipment,Something they ten word office music back service right project very yet.,But high between personal life same will director when instead join.,Melissa Bishop,Open
AUD-03298,SITE-005,2024-06-12,2024-07-08,98.9,Leak Detection,Thing apply full answer owner share artist truth trade air young soldier kitchen staff.,Local five over although role card only.,Janet Barrett,Closed
AUD-05077,SITE-001,2025-05-12,2025-05-31,74.6,Containment Integrity,Detail happy thought will local be down out management nice wrong wind tell generation simple forward prepare his.,Series short parent husband all general.,Benjamin Warren,Closed
AUD-07432,SITE-001,2026-02-11,2026-02-24,79.9,Safety Equipment,Radio outside hot film individual generation choice attack hair down mouth capital without wide.,Issue indeed technology history successful night within down exist contain tax.,Scott White,Closed
AUD-05915,SITE-005,2025-12-12,,92.5,Emergency Response,Democrat many ability vote year sort any once.,Ago wish some indicate reason eight summer two.,Tommy Wilson,Open
AUD-09298,SITE-003,2025-01-22,2024-12-30,57.7,Documentation,Point yourself direction hour by newspaper not child act sound name hear agency also shoulder make small my likely.,,Teresa Hart,Closed
AUD-03713,SITE-006,2026-03-22,,46.8,Environmental Monitoring,People memory local front heavy charge either their citizen cause technology case care discussion education.,Thank begin brother play challenge mean skill response them.,Susan Casey,Open
AUD-06525,SITE-002,2024-07-07,2024-07-22,77.2,Containment Integrity,Actually theory garden quickly wrong follow box seek away.,Usually on culture suffer whether natural.,Whitney Roberts,Closed
AUD-07882,SITE-003,2025-04-30,,84.2,Leak Detection,This movement owner eight game her radio staff political job dog security.,Health choice never wide but smile.,Christina Walker,Open
AUD-01604,SITE-001,2025-09-06,2025-09-27,82.7,Environmental Monitoring,Old argue heavy truth nice large week yet.,Radio word product drop past at able case.,Stephanie Vasquez,Closed
AUD-06857,SITE-003,2026-04-08,2026-05-19,45.2,Maintenance Backlog,Discover wonder itself important four involve shoulder next list at force.,Believe mind expert involve a government south.,Danny Richard,Closed
AUD-01393,SITE-002,2025-11-26,2025-12-19,86.2,Safety Equipment,Letter down production gun serve far fall head hour first bag use every.,Tree another manage plan if girl technology smile product.,Lori Hughes,Closed
AUD-02925,SITE-006,2026-02-23,,75.3,Containment Integrity,Someone local policy talk anyone natural evening.,Why although against what region easy deal policy score owner population wait word.,Shannon Gutierrez,Open
AUD-06856,SITE-001,2026-03-03T00:00:00Z,2026-03-19,91.5,Emergency Response,Process tell wish society really team attention yet movie treatment some stock remember.,,Robin Freeman,Closed
AUD-07764,SITE-001,31/05/2026,,73.4,Containment Integrity,Her indicate threat company put important law young season live eight build yourself sit new give.,,Laura Torres,Open
AUD-08121,SITE-002,2026-05-28,2026-06-23,92.3,Leak Detection,Within field computer treatment point table lose gas perhaps character model.,Treat home evening time citizen moment street.,Brian Rivera,Closed
AUD-01575,SITE-002,2024-02-24,2024-03-14,73.9,Containment Integrity,World receive federal actually discuss side stuff other provide.,,Denise Nguyen,Closed
AUD-02529,SITE-002,27/03/2026,,100.0,Maintenance Backlog,Figure page dark development cultural nearly they every receive each event of.,,Melissa Miller,In Progress
AUD-08247,SITE-005,2024-05-25,06/17/2024,77.9,Emergency Response,Nation treat blue idea begin seem brother order choose if scene key month one indicate beyond young travel.,Hundred force positive population sea economic within behavior culture such although employee.,Deborah Blake,Closed
AUD-01759,SITE-006,2026-05-22,,70.4,Environmental Monitoring,Book involve charge situation check word war chance central find thousand hand scientist power.,Deal professional somebody defense allow type list team would least get just production hot.,Melissa King,Open
AUD-08458,SITE-003,02/08/2024,,83.4,Personnel Training,Try movement evidence education contain year forward TV itself memory issue center of mention type fall improve building stay executive couple.,Power late leg middle stay report attention.,Kimberly Brady,Open
AUD-07155,SITE-006,2025-03-06,2025-04-23,58.2,Environmental Monitoring,Sing more order him although page debate actually morning Democrat me.,Road season him learn apply any also body.,Richard Wright,Closed
AUD-05131,SITE-003,2024-04-01,,50.2,Maintenance Backlog,Lot senior nearly second nation experience civil option.,Task quickly they national scene change find help president determine.,Robin Taylor,In Progress
AUD-07565,SITE-005,2024-05-20,2024-06-10,79.3,Personnel Training,Travel plan bill wait animal five pattern degree process none nice step.,Many director minute read recognize long animal medical peace up hear.,Robert Diaz,Closed
AUD-02571,SITE-004,2026-05-10,2026-06-06,70.9,Maintenance Backlog,Determine vote sing candidate generation office none cut character knowledge himself lawyer evidence economic bit boy yourself try election term let beat central scene tell.,Pick hold discuss minute worry recently name box ask.,Donald Estrada,Closed
AUD-03145,SITE-001,2025-01-20,2025-01-28T00:00:00Z,66.0,Safety Equipment,Group magazine public design maybe church red public lot camera property task those perform.,,Joshua Cruz,Closed
AUD-00259,SITE-006,2026-01-12,,112.1,Emergency Response,Low forget another analysis culture main memory condition usually place special avoid sense agency.,Bill young glass bit on wife claim bill could arm.,Wesley Booth,In Progress
AUD-08316,SITE-002,08/22/2024,2024-09-02,78.6,Environmental Monitoring,Cell choice or behind rather future professor others particularly cold south good follow seem can.,Nice chair bad gas affect according leg artist agency.,Jessica Garcia,Closed
AUD-02557,SITE-006,2024-09-07,2024-11-27,61.6,Environmental Monitoring,Send above mother list yet inside front well today sell.,Build color individual quality fill cell plan seven and.,Cindy Bailey,Closed
AUD-09012,SITE-001,2025-12-22,2026-01-21,71.7,Safety Equipment,Court reason on culture range rock.,Ready surface enter according current operation individual of become.,Steven Dawson,Closed
AUD-07749,SITE-004,2025-03-20,,95.3,Documentation,Both use doctor approach environmental mind fish notice great suffer.,Require television for skill upon clear yeah fear white find among sing sign.,Ralph Norman,In Progress
AUD-05815,SITE-004,2026-01-28,2026-02-16T00:00:00Z,75.8,Emergency Response,Institution heart among nearly our treatment system sing responsibility experience.,Themselves begin cup science truth.,Maria Johnson,Closed
AUD-08312,SITE-001,2025-06-21,,82.4,Environmental Monitoring,Leg hard factor me society because way position get if travel specific call once camera necessary exist boy area child paper human return message the.,,Curtis Griffith,Open
AUD-06867,SITE-004,2026-05-06,,52.6,Maintenance Backlog,Late ten not green generation court air tough attack discussion cup operation.,Return term door effect scene talk next.,Sarah Jackson,Open
AUD-09103,SITE-005,2024-08-27,,83.7,Containment Integrity,Activity improve explain structure practice smile food wife easy skill focus face day fact.,Food treat yeah Mrs serious force moment effect bad.,Jason Gonzales,Open
AUD-03520,SITE-004,2026-05-16,,86.1,Safety Equipment,Heavy single follow avoid force institution great marriage.,,Monica Roman,Open
AUD-00784,SITE-006,2025-10-06,2025-11-18,63.7,Documentation,Impact check glass record travel she us serve environment person short everyone continue only.,Service service not factor since.,Michael Gibson,Closed
AUD-03280,SITE-006,2024-09-02,,72.6,Emergency Response,Myself whatever current concern light south miss often who open tell officer lot continue.,Quite physical at require surface our break lead.,Steven Kelly,In Progress
AUD-04772,SITE-001,2026-06-07,,89.1,Personnel Training,Bag pay day blood over issue article become during north number film perhaps simply once whose feel pattern probably sort or behind.,Candidate try lawyer stage power behind under determine soon.,Sharon Reynolds,In Progress
AUD-07518,SITE-006,2024-04-25,,73.6,Maintenance Backlog,Consumer see reach report notice affect election church family per.,Peace environmental nearly news red worker positive catch a.,Laura James,Open
AUD-05344,SITE-003,2026-01-31,2026-03-20,40.2,Documentation,Image safe win record tell benefit seem save age deal point laugh bill conference detail inside career western fast than threat.,,Kathryn Poole,Closed
AUD-05706,SITE-002,2026-06-08,2026-06-27,87.9,Personnel Training,Important company leg program process people compare reality majority interest role study baby after involve.,Six leave write well should such recent least race sense employee.,Eddie Patel,Closed
AUD-00902,SITE-006,2026-04-10,2026-05-08,56.7,Containment Integrity,Last food bad magazine from worry dream effort street report little decide detail.,Already these can face.,Jennifer Thompson,Closed
AUD-02998,SITE-006,2025-01-21,,69.9,Maintenance Backlog,Together generation truth today house appear brother off team those writer near wrong wear police game sister reduce.,Weight sit behind American right indicate shake.,Michele Robinson,In Progress
AUD-01593,SITE-001,2026-02-03,,90.0,Environmental Monitoring,Participant candidate research city evidence movement watch although citizen science scene decade cause all recent already actually note difference color try.,While commercial establish discuss reflect parent benefit image her husband bit.,Angel Hernandez,In Progress
AUD-01778,SITE-003,2026-08-23,2025-12-10,71.4,Maintenance Backlog,Black defense year outside or now risk no sort.,Item month employee perhaps size game read tell.,Justin Berry,Closed
AUD-02131,SITE-005,2025-09-13,,104.3,Maintenance Backlog,Truth including audience morning vote in establish particularly later also walk hard tax seem.,,Margaret Escobar,Open
AUD-02749,SITE-004,2025-05-21,,83.3,Safety Equipment,Thank sound tax dark agreement specific address money they from anything however item keep me truth usually agreement bag hundred there go election mother near focus everybody similar.,,Derek Brooks,Open
AUD-05081,SITE-002,2026-03-17,,94.9,Leak Detection,Nice get yard role such receive audience join of direction.,Meet science hospital option phone American here open.,Benjamin Jackson,In Progress
AUD-08515,SITE-001,2026-01-17,,79.4,Personnel Training,Able teach sport federal material brother piece thank hand respond foot watch.,Off stay national provide friend relationship civil.,John Ellis Jr.,Open
AUD-02579,SITE-003,2024-02-03,09/04/2024,59.4,Documentation,Most become country each force section anyone attention whom number operation human number force enough.,Record discussion including sit special walk sea get.,Jacob Martinez,Closed
AUD-02654,SITE-003,2024-02-26,2024-04-24,150.7,Documentation,Sing station develop floor event type measure source billion.,Site member management within agent who station box chance physical personal million face rule design economic.,Joshua Gonzales,Closed
AUD-07030,SITE-005,2025-11-19,,81.5,Environmental Monitoring,Republican bag shoulder lay another trip relationship during other report mention official successful bring book three general class get.,,Mallory White,In Progress
AUD-07284,SITE-002,2025-10-26,22/11/2025,70.2,Environmental Monitoring,Them soon before left five major town.,Choice measure article everybody idea always agent.,Barbara Thomas,Closed
AUD-00564,SITE-005,2024-11-26,,69.1,Containment Integrity,Area threat admit kid article government north home pull community agency tend.,Kind capital situation or admit section leader cost power whether.,Cheryl Davis,Open
AUD-01019,SITE-004,2024-03-14,2024-03-29,76.2,Environmental Monitoring,Open allow any travel who marriage total personal town thus music fish environmental goal.,Manage season high picture hair nor media decision foot speak after.,Jamie Ramirez,Closed
AUD-01430,SITE-004,2026-03-25,2026-04-12,75.8,Leak Detection,Practice ask smile board identify girl their pass reveal others set.,Edge late success coach where particular.,Jeffrey Coleman,Closed
AUD-07543,SITE-001,28-Feb-2026,2026-03-18,79.3,Leak Detection,Participant throughout exist nor prepare eye clearly low go buy huge.,Own beat need since his your.,Karen Moreno,Closed
AUD-00872,SITE-002,2025-08-16,2025-09-13T00:00:00Z,83.5,Safety Equipment,Door finish analysis enter environment base grow inside.,Become accept court to sort today north source close hand role campaign design.,David Hopkins,Closed
AUD-06483,SITE-005,2025-05-26,,85.0,Leak Detection,Beyond spend management size Republican happy.,,Kyle Stevenson,Open
AUD-07716,SITE-004,2025-10-17,2025-11-12,100.0,Containment Integrity,Shake fill tend some plant world wish field young difference.,,Laurie Roberts,Closed
AUD-09036,SITE-002,2024-10-27,,63.9,Containment Integrity,Into even coach study say plan though glass system land painting others or capital life western.,,Renee Lane,Open
AUD-07277,SITE-004,2026-03-24,2026-04-05,93.0,Maintenance Backlog,Force science career rock piece general audience more rich a analysis look.,Campaign pattern station my happy if her account.,Ms. Cynthia Conrad,Closed
AUD-02239,SITE-001,10-Apr-2026,2026-05-08,82.1,Documentation,Break model ask soldier probably figure memory care deal produce Mr along including yard nature majority.,,Mary Garcia,Closed
AUD-02011,SITE-005,2026-06-20,2026-07-17,87.0,Leak Detection,Perhaps face civil affect here step reason develop lose remain across color material free national manager inside kind school receive.,Quickly space fight rather week.,Emily Garcia,Closed
AUD-03838,SITE-004,2026-06-27,2026-07-02,76.6,Safety Equipment,Wife civil it stage four population size reason reality measure class research American after read white wonder also notice woman price he whom this foreign student hour.,Image thing anyone factor final spring usually hot very treat hold just.,Donald Valdez,Closed
AUD-04252,SITE-004,2025-05-29,,91.0,Safety Equipment,Room interest nearly ago determine put significant state describe determine sign model.,Large level environment hard model approach consumer machine front.,Paul Marshall,Open
AUD-01013,SITE-006,2024-10-28,,52.0,Environmental Monitoring,Four budget standard ago win because traditional foot thus anyone grow development.,Apply outside cost certain she feeling.,Patricia Yoder,In Progress
AUD-04686,SITE-002,2025-04-20,2025-05-14,90.7,Maintenance Backlog,Check throw whatever its official very ground technology affect herself field team their.,Address tell thus tell interesting.,Anthony Smith,Closed
AUD-07845,SITE-005,2026-05-22,,93.4,Safety Equipment,Rather position police main movement light.,List recent others cold century whom common mouth.,Gloria Ramsey,In Progress
AUD-04548,SITE-006,2024-11-16,,55.9,Personnel Training,Southern politics police week chance necessary town able that cost one policy Republican ball development get end government condition decide ability position official dream.,Herself capital stay month dark develop hour around become his newspaper degree.,Jennifer Henderson,In Progress
AUD-05369,SITE-005,2024-07-28,2024-08-02,99.7,Containment Integrity,Else mention teacher form than lawyer pick room.,His memory force anyone rest chair pretty itself mother situation.,Kevin Williams,Closed
AUD-02566,SITE-004,2025-09-21,2025-10-07,76.1,Environmental Monitoring,Decide tough responsibility artist plant station rule teacher wrong force fly its great contain your past vote note address.,Development trip as key into or meeting same condition happy leg news use sure wind.,Craig Mclean,Closed
AUD-03287,SITE-001,09-Jun-2026,2026-06-27,67.4,Documentation,Be strong wide bill machine year effect mother month above of oil.,Like appear approach defense use partner or eat year.,Karen Myers,Closed
AUD-07232,SITE-002,2025-04-28,,84.2,Emergency Response,Travel Mrs compare agreement to open low sea student out although old.,,Laura Cole,Open
AUD-00607,SITE-002,2026-01-15,,81.6,Leak Detection,Road own girl the fish according fine.,,Elizabeth Frost,In Progress
AUD-06138,SITE-005,2026-03-31,,100.0,Emergency Response,Camera everything what while operation.,Alone official remember under series decade.,Emily Nicholson,In Progress
AUD-04604,SITE-005,2025-03-17,2025-04-07,80.4,Maintenance Backlog,Building only none production record democratic gun industry institution choice common up operation maintain national hospital arrive court test recent prove group near daughter pattern.,Radio similar black space network.,Kevin Berry,Closed
AUD-00870,SITE-003,2025-04-12,,62.1,Containment Integrity,Matter early us floor as best rich collection development dream local return close class yourself why million.,List account usually adult his loss through next choose.,Andrew Horn,In Progress
AUD-08792,SITE-001,2024-07-20,2024-08-02,73.6,Emergency Response,Notice agent man difference couple able clear those just issue kind rather loss service compare staff necessary.,,Stacey Smith,Closed
AUD-08926,SITE-004,2025-05-13,,83.2,Maintenance Backlog,Sign author growth hundred such.,Fall knowledge describe dark just Mr good.,Stanley Medina,Open
AUD-06966,SITE-001,2025-07-14,2025-08-12,76.2,Leak Detection,Site free where recent stay nothing future training significant join thought likely important community tough model effect.,Fear mouth seat his store have.,Charles Fritz,Closed
AUD-07127,SITE-006,2024-06-14,,63.9,Documentation,Together citizen head laugh discussion idea wait option notice determine others physical Republican sport realize.,Either already recognize realize person add next send military sell.,Samuel Simmons,Open
AUD-09155,SITE-006,2026-05-07,,57.9,Leak Detection,Remain edge man reveal bring trip final beyond what.,,Michael Hardy,Open
AUD-03016,SITE-004,2025-12-31,,79.5,Environmental Monitoring,Final than seem receive role sense act someone American develop note maintain figure budget here usually.,,Rachel Hamilton,Open
AUD-02153,SITE-003,2024-06-12,,71.7,Leak Detection,Arm question responsibility pretty piece teacher ground once race two old network meet against them.,From unit board just majority certainly professional race sound.,John Levy,In Progress
AUD-02986,SITE-001,2025-01-21,,75.1,Documentation,Certainly win gun attention understand than manage lead former talk follow much agree star add thousand begin bad key affect popular blood.,Community enter current travel personal.,Jessica Hammond,In Progress
AUD-07092,SITE-001,2025-11-05,2025-11-11,81.0,Containment Integrity,Sea commercial subject both and miss speech outside perform baby culture evidence important whether process include agree.,Pretty point bit look discussion pass sing.,Crystal Bowers,Closed
AUD-06243,SITE-003,2025-10-29T00:00:00Z,,68.3,Maintenance Backlog,News base door smile executive station discussion especially eat reflect hit camera whatever air.,Former contain affect begin exactly door foot century focus song spring reason.,Eric Callahan,In Progress
AUD-09375,SITE-002,2026-03-08,,78.8,Environmental Monitoring,Democratic parent allow president hotel structure share memory stand vote drive begin also opportunity possible significant.,Education share shake trade again pick pull weight present sort.,Timothy Robinson,Open
AUD-00279,SITE-005,2025-07-12,2025-07-21,78.5,Maintenance Backlog,Should company again stage let century only act way defense reach still risk stock now.,Door amount surface southern fine wear few third.,Bonnie Shepherd,Closed
AUD-04359,SITE-005,2026-06-12,2026-06-26,79.7,Emergency Response,Attention movie television those source option people center without hold her traditional scientist.,Difference number run student full government staff kind member.,Patricia Johnson,Closed
AUD-06653,SITE-006,2025-05-19,,74.8,Containment Integrity,Computer next safe vote blood sound table.,Recent piece answer real line beyond.,Kevin Jarvis,Open
AUD-01946,SITE-001,2025-08-27,2025-09-08,84.3,Emergency Response,Who local answer particularly record study cell expert ten much certainly staff eat explain.,,Bryan Murphy,Closed
AUD-06249,SITE-001,2026-06-18,2026-06-30,100.0,Leak Detection,Be trade large figure life although travel owner view meeting.,West consumer it too popular bar.,Richard Morrow,Closed
AUD-07655,SITE-004,05/22/2024,2024-05-30,70.0,Leak Detection,Reason whatever capital speech effort even society join.,,Michelle Smith,Closed
AUD-09182,SITE-003,2025-07-06,,29.5,Containment Integrity,Price human truth oil allow again safe do focus style cup whether.,Activity young suffer information.,Timothy Jordan,Open
