id,program_id,region,resource_type,allocated_amount,unit,period_start,period_end,source,status,priority_score,rationale
ALLOC-4d3d4ae6,PROG-0fbca13e,Kilifi,training_capacity,74,seats,2025-03-13,2025-06-27,ml_recommended,rejected,43.05,Ratione cum molestiae illo expedita.
ALLOC-edb437d1,PROG-0fbca13e,Kilifi,budget,533601,KES,2025-03-13,2025-06-27,manual,approved,,
ALLOC-8a65a5e4,PROG-0fbca13e,Kilifi,field_officer,5,officers,2025-07-09,2025-11-01,ml_recommended,approved,83.63,Optio ex eos veniam nulla labore.
ALLOC-a3568812,PROG-0fbca13e,Kilifi,budget,1284564,KES,2025-07-09,2025-11-01,ml_recommended,approved,59.01,Reprehenderit voluptatem ab pariatur ipsum temporibus nostrum numquam vero placeat.
ALLOC-ed4f6035,PROG-b8035b07,Kilifi,training_capacity,23,seats,2025-04-15,2025-07-04,ml_recommended,rejected,48.98,Fugit recusandae beatae ducimus quam ad maxime quo.
ALLOC-e8cd1c45,PROG-b8035b07,Kilifi,budget,1029047,KES,2025-04-15,2025-07-04,manual,approved,,
ALLOC-4a77c7d7,PROG-b8035b07,Kilifi,training_capacity,43,seats,2025-07-16,2025-09-23,manual,approved,,
ALLOC-748b97ca,PROG-d790e6fd,Kilifi,field_officer,5,officers,2025-11-17,2026-02-21,manual,approved,,
ALLOC-dc2a4886,PROG-d790e6fd,Kilifi,training_capacity,65,seats,2025-11-17,2026-02-21,manual,approved,,
ALLOC-b99548e7,PROG-d790e6fd,Kilifi,training_capacity,67,seats,2024-07-22,2024-10-22,manual,approved,,
ALLOC-04087eab,PROG-d790e6fd,Kilifi,budget,1093729,KES,2024-07-22,2024-10-22,manual,approved,,
ALLOC-dd1d9684,PROG-d790e6fd,Kilifi,field_officer,1,officers,2024-09-20,2024-12-03,ml_recommended,rejected,35.58,Rem ipsum aliquam tempore deserunt maiores veniam cumque vero modi.
ALLOC-89648cec,PROG-d790e6fd,Kilifi,training_capacity,45,seats,2024-09-20,2024-12-03,ml_recommended,pending,84.9,Occaecati distinctio occaecati distinctio.
ALLOC-810ac615,PROG-d790e6fd,Kilifi,field_officer,4,officers,2025-11-28,2026-02-27,ml_recommended,approved,74.34,Saepe dignissimos repudiandae soluta qui ipsa repellendus asperiores placeat.
ALLOC-d5e9ef65,PROG-d790e6fd,Kilifi,training_capacity,68,seats,2025-11-28,2026-02-27,manual,approved,,
ALLOC-25d622dc,PROG-d790e6fd,Kilifi,budget,1657067,KES,2025-11-28,2026-02-27,manual,approved,,
ALLOC-772469fa,PROG-f51b3d73,Kakamega,field_officer,1,officers,2025-08-13,2025-10-18,ml_recommended,pending,57.65,Itaque ex assumenda amet recusandae.
ALLOC-9803fffb,PROG-f51b3d73,Kakamega,budget,912432,KES,2025-08-13,2025-10-18,manual,approved,,
ALLOC-660fd031,PROG-f51b3d73,Kakamega,field_officer,4,officers,2025-12-03,2026-02-04,manual,approved,,
ALLOC-8496cf31,PROG-f51b3d73,Kakamega,training_capacity,56,seats,2025-12-03,2026-02-04,manual,approved,,
ALLOC-c444e21f,PROG-f51b3d73,Kakamega,budget,1385835,KES,2025-12-03,2026-02-04,ml_recommended,approved,83.26,Architecto reprehenderit tenetur illum iste illo et harum blanditiis ab.
ALLOC-d9cfc494,PROG-397ae435,Kakamega,field_officer,5,officers,2026-05-18,2026-08-27,manual,approved,,
ALLOC-6f787c17,PROG-397ae435,Kakamega,field_officer,4,officers,2026-05-09,2026-08-11,manual,approved,,
ALLOC-da54d90d,PROG-397ae435,Kakamega,training_capacity,78,seats,2026-05-09,2026-08-11,manual,approved,,
ALLOC-b7ba237c,PROG-397ae435,Kakamega,field_officer,3,officers,2026-04-07,2026-08-01,manual,approved,,
ALLOC-0e4d871c,PROG-397ae435,Kakamega,training_capacity,40,seats,2026-04-07,2026-08-01,manual,approved,,
ALLOC-880aac0b,PROG-397ae435,Kakamega,budget,339421,KES,2026-04-07,2026-08-01,manual,approved,,
ALLOC-5e8aa1dd,PROG-397ae435,Kakamega,field_officer,4,officers,2026-05-05,2026-07-27,manual,approved,,
ALLOC-8b70e300,PROG-397ae435,Kakamega,budget,435333,KES,2026-05-05,2026-07-27,manual,approved,,
ALLOC-8e500c67,PROG-397ae435,Kakamega,budget,1483135,KES,2026-04-19,2026-06-20,ml_recommended,pending,30.12,Aperiam quia aliquid sed facere magnam enim placeat non eligendi unde.
ALLOC-b1586f6e,PROG-83c20fad,Kakamega,field_officer,4,officers,2024-12-16,2025-03-05,manual,approved,,
ALLOC-c64574cc,PROG-83c20fad,Kakamega,training_capacity,36,seats,2024-12-16,2025-03-05,ml_recommended,pending,73.58,Hic optio labore modi consequatur hic reiciendis molestias.
ALLOC-ccb84f73,PROG-83c20fad,Kakamega,budget,1143600,KES,2024-12-16,2025-03-05,ml_recommended,approved,20.4,Error suscipit vitae sint officia vero.
ALLOC-3173b5e2,PROG-83c20fad,Kakamega,field_officer,5,officers,2026-04-04,2026-07-04,manual,approved,,
ALLOC-adf36f02,PROG-83c20fad,Kakamega,training_capacity,76,seats,2026-04-04,2026-07-04,manual,approved,,
ALLOC-898ffab3,PROG-83c20fad,Kakamega,budget,613200,KES,2026-04-04,2026-07-04,ml_recommended,pending,64.0,Mollitia nam commodi a.
ALLOC-0644e65e,PROG-860280ab,Kakamega,field_officer,3,officers,2025-01-27,2025-04-08,manual,approved,,
ALLOC-fb14731b,PROG-860280ab,Kakamega,budget,1857443,KES,2025-01-27,2025-04-08,manual,approved,,
ALLOC-11348228,PROG-860280ab,Kakamega,field_officer,1,officers,2025-06-20,2025-10-16,manual,approved,,
ALLOC-2de174b8,PROG-860280ab,Kakamega,training_capacity,56,seats,2025-06-20,2025-10-16,manual,approved,,
ALLOC-d95182df,PROG-860280ab,Kakamega,budget,1347740,KES,2025-06-20,2025-10-16,manual,approved,,
ALLOC-5fdaab4a,PROG-860280ab,Kakamega,budget,175162,KES,2025-10-16,2025-12-26,manual,approved,,
ALLOC-cf9e2546,PROG-e86bb743,Nairobi,field_officer,2,officers,2025-08-24,2025-10-27,manual,approved,,
ALLOC-714b70c6,PROG-e86bb743,Nairobi,budget,967713,KES,2025-08-24,2025-10-27,manual,approved,,
ALLOC-70dfc28a,PROG-e86bb743,Nairobi,field_officer,1,officers,2026-01-20,2026-04-03,manual,approved,,
ALLOC-505e8af1,PROG-e86bb743,Nairobi,budget,283856,KES,2026-01-20,2026-04-03,manual,approved,,
ALLOC-b4af0807,PROG-e86bb743,Nairobi,budget,1376839,KES,2026-01-13,2026-04-21,ml_recommended,pending,60.26,Hic molestias assumenda distinctio qui quas distinctio temporibus sed consequuntur.
ALLOC-c349cd77,PROG-7530c51c,Nairobi,field_officer,5,officers,2026-04-06,2026-07-14,manual,approved,,
ALLOC-abbdf06e,PROG-7530c51c,Nairobi,training_capacity,43,seats,2026-04-06,2026-07-14,ml_recommended,pending,40.33,Dolore rerum deserunt delectus reiciendis sequi.
ALLOC-452c96d0,PROG-7530c51c,Nairobi,budget,347898,KES,2026-04-06,2026-07-14,manual,approved,,
ALLOC-35cd0a3d,PROG-7530c51c,Nairobi,field_officer,2,officers,2026-05-08,2026-08-26,ml_recommended,rejected,48.98,Itaque mollitia enim architecto atque quas laborum ex consectetur omnis.
ALLOC-3b6bc943,PROG-7530c51c,Nairobi,training_capacity,91,seats,2026-05-08,2026-08-26,ml_recommended,pending,64.84,Eligendi architecto deserunt laborum eveniet.
ALLOC-7a43596e,PROG-7530c51c,Nairobi,budget,633552,KES,2026-05-08,2026-08-26,ml_recommended,approved,55.47,Possimus corrupti necessitatibus repellat vero cumque et.
ALLOC-5856ddc8,PROG-7530c51c,Nairobi,field_officer,3,officers,2026-04-18,2026-08-05,manual,approved,,
ALLOC-2960f976,PROG-7530c51c,Nairobi,budget,161063,KES,2026-04-18,2026-08-05,ml_recommended,pending,78.37,Quae odit eius facere perspiciatis ex laboriosam.
ALLOC-112da744,PROG-7530c51c,Nairobi,budget,1109769,KES,2026-05-11,2026-08-09,manual,approved,,
ALLOC-6d97c54e,PROG-bd4698ac,Nairobi,field_officer,4,officers,2025-09-05,2025-12-31,ml_recommended,pending,56.48,Facere esse mollitia cupiditate non sapiente similique consequuntur molestiae.
ALLOC-c6f36dda,PROG-bd4698ac,Nairobi,training_capacity,60,seats,2025-09-05,2025-12-31,manual,approved,,
ALLOC-f1342007,PROG-bd4698ac,Nairobi,budget,1310890,KES,2025-09-05,2025-12-31,manual,approved,,
ALLOC-6c754240,PROG-bd4698ac,Nairobi,training_capacity,23,seats,2025-03-02,2025-05-05,manual,approved,,
ALLOC-72666234,PROG-bd4698ac,Nairobi,budget,1220452,KES,2025-03-02,2025-05-05,ml_recommended,approved,47.27,Quasi occaecati quas tempora sed occaecati repellat.
ALLOC-2c9c9967,PROG-bd4698ac,Nairobi,field_officer,4,officers,2025-01-21,2025-05-06,manual,approved,,
ALLOC-4f76cba1,PROG-bd4698ac,Nairobi,budget,1839498,KES,2025-01-21,2025-05-06,ml_recommended,pending,41.16,Illo nihil temporibus mollitia molestiae voluptatum iusto quod facilis dolore.
ALLOC-eb290bbb,PROG-ff57bf40,Mombasa,budget,813274,KES,2025-11-15,2026-01-15,ml_recommended,approved,56.65,Quasi enim iure magni id magnam optio sed rem nostrum.
ALLOC-d2218df2,PROG-ff57bf40,Mombasa,field_officer,1,officers,2026-04-02,2026-06-21,ml_recommended,rejected,67.37,Quidem consequuntur culpa necessitatibus natus sit.
ALLOC-240b14c7,PROG-ff57bf40,Mombasa,training_capacity,24,seats,2026-04-02,2026-06-21,manual,approved,,
ALLOC-3e013d4e,PROG-ff57bf40,Mombasa,field_officer,1,officers,2025-11-23,2026-01-29,manual,approved,,
ALLOC-8eb69dcf,PROG-ff57bf40,Mombasa,training_capacity,31,seats,2025-11-23,2026-01-29,manual,approved,,
ALLOC-5d407dd0,PROG-ff57bf40,Mombasa,budget,1690676,KES,2025-04-22,2025-07-24,manual,approved,,
ALLOC-6ecdeef3,PROG-ff57bf40,Mombasa,field_officer,3,officers,2025-06-16,2025-09-04,manual,approved,,
ALLOC-76c28712,PROG-ff57bf40,Mombasa,training_capacity,76,seats,2025-06-16,2025-09-04,manual,approved,,
ALLOC-c2ac2121,PROG-ff57bf40,Mombasa,budget,430293,KES,2025-06-16,2025-09-04,manual,approved,,
ALLOC-8692345e,PROG-6311eff0,Mombasa,field_officer,2,officers,2025-07-12,2025-10-15,manual,approved,,
ALLOC-9dd96fa1,PROG-6311eff0,Mombasa,training_capacity,54,seats,2025-07-12,2025-10-15,manual,approved,,
ALLOC-1c54260f,PROG-6311eff0,Mombasa,field_officer,1,officers,2024-07-30,2024-11-03,manual,approved,,
ALLOC-3ba873db,PROG-6311eff0,Mombasa,budget,206380,KES,2024-07-30,2024-11-03,manual,approved,,
ALLOC-c5abd69f,PROG-b11e144c,Mombasa,field_officer,1,officers,2026-01-25,2026-04-01,manual,approved,,
ALLOC-50643379,PROG-b11e144c,Mombasa,training_capacity,96,seats,2026-01-25,2026-04-01,ml_recommended,approved,68.31,Quasi laboriosam facere dolor laborum aperiam.
ALLOC-48b4d390,PROG-b11e144c,Mombasa,budget,845798,KES,2026-01-25,2026-04-01,manual,approved,,
ALLOC-e27f81b1,PROG-b11e144c,Mombasa,budget,1684907,KES,2026-03-04,2026-06-17,ml_recommended,approved,26.5,Doloremque pariatur maxime recusandae harum ullam sunt aliquam.
ALLOC-10d6c7be,PROG-b11e144c,Mombasa,field_officer,4,officers,2026-05-12,2026-07-17,manual,approved,,
ALLOC-0f32df48,PROG-b11e144c,Mombasa,budget,1978420,KES,2026-05-12,2026-07-17,manual,approved,,
ALLOC-2e775d36,PROG-b11e144c,Mombasa,field_officer,3,officers,2026-04-16,2026-07-10,ml_recommended,rejected,51.73,Aut voluptas odio earum quia neque necessitatibus fugiat.
ALLOC-8707ae8d,PROG-b11e144c,Mombasa,training_capacity,80,seats,2026-04-16,2026-07-10,manual,approved,,
ALLOC-54769551,PROG-b11e144c,Mombasa,budget,1873700,KES,2026-04-16,2026-07-10,manual,approved,,
ALLOC-2ab94dc3,PROG-b11e144c,Mombasa,field_officer,5,officers,2026-04-12,2026-07-19,manual,approved,,
ALLOC-3003bf57,PROG-bdd0cc6c,Mombasa,field_officer,3,officers,2025-11-05,2026-02-14,manual,approved,,
ALLOC-16084c2c,PROG-bdd0cc6c,Mombasa,training_capacity,72,seats,2025-11-05,2026-02-14,manual,approved,,
ALLOC-1078c145,PROG-bdd0cc6c,Mombasa,budget,433489,KES,2025-11-05,2026-02-14,ml_recommended,approved,43.85,Facilis officiis saepe maxime fugiat tenetur maiores explicabo.
ALLOC-e45a1ee0,PROG-bdd0cc6c,Mombasa,field_officer,4,officers,2026-03-17,2026-06-29,manual,approved,,
ALLOC-634c6bdb,PROG-bdd0cc6c,Mombasa,training_capacity,50,seats,2026-03-17,2026-06-29,manual,approved,,
ALLOC-ed66bdf6,PROG-bdd0cc6c,Mombasa,budget,1650565,KES,2026-03-17,2026-06-29,ml_recommended,approved,54.06,Laborum laboriosam nobis magnam consequuntur cumque aspernatur officia.
ALLOC-dc851fdf,PROG-bdd0cc6c,Mombasa,field_officer,5,officers,2025-11-24,2026-03-02,manual,approved,,
ALLOC-71a3df54,PROG-bdd0cc6c,Mombasa,training_capacity,59,seats,2025-11-24,2026-03-02,ml_recommended,pending,27.61,Corrupti culpa nobis repellendus optio impedit.
ALLOC-f0f9866c,PROG-bdd0cc6c,Mombasa,field_officer,4,officers,2026-02-23,2026-06-15,manual,approved,,
ALLOC-d0e0226f,PROG-bdd0cc6c,Mombasa,training_capacity,47,seats,2026-02-23,2026-06-15,ml_recommended,rejected,83.23,Quam laboriosam laboriosam distinctio cum rerum ad aliquam.
ALLOC-7b7ca695,PROG-bdd0cc6c,Mombasa,budget,100386,KES,2026-02-23,2026-06-15,ml_recommended,approved,51.71,Nihil consequatur maiores tempora corporis cumque ullam maxime illo voluptas.
ALLOC-b3c1b51e,PROG-ac2df7f6,Mombasa,field_officer,2,officers,2025-11-09,2026-02-16,manual,approved,,
ALLOC-d3c77787,PROG-ac2df7f6,Mombasa,budget,1765865,KES,2025-11-09,2026-02-16,ml_recommended,approved,86.03,Soluta quas reprehenderit veniam.
ALLOC-e92e8737,PROG-ac2df7f6,Mombasa,training_capacity,31,seats,2025-12-02,2026-03-17,manual,approved,,
ALLOC-246d997d,PROG-ac2df7f6,Mombasa,budget,1170436,KES,2025-12-02,2026-03-17,manual,approved,,
ALLOC-e2f0b86e,PROG-ac2df7f6,Mombasa,field_officer,3,officers,2025-06-28,2025-10-20,ml_recommended,rejected,20.06,Ipsum voluptatibus sint cupiditate rerum nobis.
ALLOC-a7a8ad08,PROG-ac2df7f6,Mombasa,training_capacity,65,seats,2025-06-28,2025-10-20,manual,approved,,
ALLOC-f1af721f,PROG-ac2df7f6,Mombasa,budget,165399,KES,2025-06-28,2025-10-20,manual,approved,,
ALLOC-7ad0ff5f,PROG-ac2df7f6,Mombasa,field_officer,3,officers,2026-04-18,2026-07-24,manual,approved,,
ALLOC-de14aa34,PROG-ac2df7f6,Mombasa,training_capacity,75,seats,2026-04-18,2026-07-24,manual,approved,,
ALLOC-41787dfe,PROG-ac2df7f6,Mombasa,budget,1095877,KES,2026-04-18,2026-07-24,manual,approved,,
ALLOC-59aa6ce1,PROG-4b4a2b9f,Nakuru,field_officer,4,officers,2026-02-12,2026-06-11,manual,approved,,
ALLOC-31be0ff0,PROG-4b4a2b9f,Nakuru,budget,381600,KES,2026-02-12,2026-06-11,manual,approved,,
ALLOC-79e41af9,PROG-4b4a2b9f,Nakuru,field_officer,4,officers,2025-07-27,2025-09-26,manual,approved,,
ALLOC-0751f23b,PROG-4b4a2b9f,Nakuru,budget,387771,KES,2025-07-27,2025-09-26,manual,approved,,
ALLOC-3aa8a9fb,PROG-4b4a2b9f,Nakuru,field_officer,5,officers,2024-12-01,2025-03-26,ml_recommended,approved,51.81,Reprehenderit delectus optio eaque quam exercitationem iste nihil dolorem harum.
ALLOC-b5e5cfb3,PROG-4b4a2b9f,Nakuru,training_capacity,77,seats,2024-12-01,2025-03-26,manual,approved,,
ALLOC-f730f4f4,PROG-4b4a2b9f,Nakuru,budget,990811,KES,2024-12-01,2025-03-26,manual,approved,,
ALLOC-af10f4de,PROG-4b4a2b9f,Nakuru,training_capacity,84,seats,2025-05-16,2025-08-15,manual,approved,,
ALLOC-68204582,PROG-4b4a2b9f,Nakuru,field_officer,1,officers,2025-05-15,2025-08-06,manual,approved,,
ALLOC-2d18cbbf,PROG-4b4a2b9f,Nakuru,budget,1109847,KES,2025-05-15,2025-08-06,ml_recommended,pending,71.11,Accusantium minima tenetur placeat repudiandae.
ALLOC-b1af9430,PROG-b4b1c2de,Nakuru,field_officer,5,officers,2025-12-06,2026-03-09,manual,approved,,
ALLOC-6b9f5dac,PROG-b4b1c2de,Nakuru,training_capacity,29,seats,2025-12-06,2026-03-09,manual,approved,,
ALLOC-62e459ec,PROG-b4b1c2de,Nakuru,budget,1315568,KES,2025-12-06,2026-03-09,manual,approved,,
ALLOC-ffa568f6,PROG-b4b1c2de,Nakuru,field_officer,1,officers,2025-05-09,2025-09-03,manual,approved,,
ALLOC-aeb2ee06,PROG-b4b1c2de,Nakuru,training_capacity,80,seats,2025-05-09,2025-09-03,manual,approved,,
ALLOC-956ea441,PROG-b4b1c2de,Nakuru,budget,840115,KES,2025-05-09,2025-09-03,ml_recommended,approved,40.24,Atque labore nostrum aliquam quos magnam blanditiis laboriosam consectetur nobis.
ALLOC-7a2cde5b,PROG-b4b1c2de,Nakuru,field_officer,4,officers,2026-01-25,2026-04-11,manual,approved,,
ALLOC-4e6ed837,PROG-b4b1c2de,Nakuru,training_capacity,57,seats,2026-01-25,2026-04-11,ml_recommended,approved,40.08,Tempore quod officiis minima.
ALLOC-495194b7,PROG-b4b1c2de,Nakuru,budget,1160311,KES,2026-01-25,2026-04-11,manual,approved,,
ALLOC-a2b7c39d,PROG-7ccb0bcb,Nakuru,field_officer,3,officers,2025-01-30,2025-04-08,ml_recommended,pending,27.81,Soluta possimus inventore vel laboriosam quisquam expedita rem.
ALLOC-0c293914,PROG-7ccb0bcb,Nakuru,training_capacity,95,seats,2025-01-30,2025-04-08,manual,approved,,
ALLOC-2ad37b29,PROG-7ccb0bcb,Nakuru,budget,875457,KES,2025-01-30,2025-04-08,ml_recommended,pending,69.05,Atque consequatur labore doloremque similique eligendi soluta illum deleniti quae.
ALLOC-772c8d2f,PROG-7ccb0bcb,Nakuru,budget,277002,KES,2025-09-25,2025-12-05,ml_recommended,approved,77.52,Neque blanditiis ab omnis.
ALLOC-fc24bd9b,PROG-7ccb0bcb,Nakuru,budget,1023134,KES,2025-10-06,2026-01-22,manual,approved,,
ALLOC-aa189e3a,PROG-7ccb0bcb,Nakuru,field_officer,3,officers,2024-11-04,2025-01-16,manual,approved,,
ALLOC-270177b8,PROG-7ccb0bcb,Nakuru,training_capacity,34,seats,2024-11-04,2025-01-16,manual,approved,,
ALLOC-b64fba74,PROG-7ccb0bcb,Nakuru,budget,1098730,KES,2024-11-04,2025-01-16,manual,approved,,
ALLOC-c7d9db8b,PROG-b38983ba,Nakuru,training_capacity,38,seats,2025-06-13,2025-09-24,manual,approved,,
ALLOC-986c5a2a,PROG-b38983ba,Nakuru,budget,705641,KES,2025-06-13,2025-09-24,ml_recommended,approved,67.49,Illum autem incidunt nesciunt ea modi natus nostrum.
ALLOC-958f0823,PROG-b38983ba,Nakuru,training_capacity,88,seats,2025-11-14,2026-02-25,manual,approved,,
ALLOC-c0353a15,PROG-b38983ba,Nakuru,budget,660123,KES,2025-08-06,2025-11-13,ml_recommended,pending,60.89,Quidem impedit quos laboriosam fuga mollitia ducimus esse.
ALLOC-dfb71f54,PROG-7a6e5559,Kisumu,budget,508788,KES,2026-02-22,2026-06-05,manual,approved,,
ALLOC-58cec032,PROG-7a6e5559,Kisumu,training_capacity,21,seats,2026-01-04,2026-04-18,manual,approved,,
ALLOC-8d01cbb2,PROG-7a6e5559,Kisumu,field_officer,1,officers,2025-01-29,2025-04-25,manual,approved,,
ALLOC-760cbed8,PROG-7a6e5559,Kisumu,training_capacity,56,seats,2025-01-29,2025-04-25,manual,approved,,
ALLOC-655351ac,PROG-7a6e5559,Kisumu,budget,1398970,KES,2025-01-29,2025-04-25,manual,approved,,
ALLOC-0bd2bede,PROG-7a6e5559,Kisumu,field_officer,2,officers,2026-05-18,2026-08-24,ml_recommended,approved,69.57,Quo id consequuntur sint blanditiis dolorem quos veniam.
ALLOC-229ebe34,PROG-7a6e5559,Kisumu,training_capacity,97,seats,2026-05-18,2026-08-24,manual,approved,,
ALLOC-ba304ddd,PROG-7a6e5559,Kisumu,budget,1987221,KES,2026-05-18,2026-08-24,manual,approved,,
ALLOC-c011b36c,PROG-7a6e5559,Kisumu,training_capacity,52,seats,2026-03-10,2026-05-20,manual,approved,,
ALLOC-4cdc533a,PROG-7a6e5559,Kisumu,budget,258784,KES,2026-03-10,2026-05-20,manual,approved,,
ALLOC-832b82aa,PROG-f7b3a2f9,Kisumu,field_officer,3,officers,2025-12-28,2026-03-25,manual,approved,,
ALLOC-f7108d04,PROG-f7b3a2f9,Kisumu,budget,230835,KES,2025-12-28,2026-03-25,manual,approved,,
ALLOC-65b5de7d,PROG-f7b3a2f9,Kisumu,field_officer,3,officers,2024-10-07,2024-12-09,manual,approved,,
ALLOC-21466b54,PROG-f7b3a2f9,Kisumu,training_capacity,45,seats,2024-10-07,2024-12-09,manual,approved,,
ALLOC-f7f8b396,PROG-f7b3a2f9,Kisumu,budget,1131918,KES,2024-10-07,2024-12-09,manual,approved,,
ALLOC-5aec3805,PROG-f7b3a2f9,Kisumu,field_officer,5,officers,2025-05-08,2025-08-25,manual,approved,,
ALLOC-3bfe309a,PROG-f7b3a2f9,Kisumu,field_officer,5,officers,2024-02-15,2024-04-17,manual,approved,,
ALLOC-0dddd1b3,PROG-f7b3a2f9,Kisumu,budget,1143755,KES,2024-02-15,2024-04-17,manual,approved,,
ALLOC-37292b0a,PROG-a502bbfb,Kisumu,field_officer,2,officers,2024-12-22,2025-04-03,manual,approved,,
ALLOC-b6af8100,PROG-a502bbfb,Kisumu,budget,1180836,KES,2024-12-22,2025-04-03,manual,approved,,
ALLOC-88784a40,PROG-a502bbfb,Kisumu,field_officer,1,officers,2026-03-31,2026-06-29,manual,approved,,
ALLOC-3eb6c560,PROG-a502bbfb,Kisumu,training_capacity,81,seats,2026-03-31,2026-06-29,manual,approved,,
ALLOC-0cae915f,PROG-a502bbfb,Kisumu,budget,852706,KES,2026-03-31,2026-06-29,manual,approved,,
ALLOC-f621a741,PROG-d08e679f,Kisumu,field_officer,1,officers,2026-03-09,2026-05-11,manual,approved,,
ALLOC-2077770d,PROG-d08e679f,Kisumu,budget,1864085,KES,2026-03-09,2026-05-11,manual,approved,,
ALLOC-e499f461,PROG-d08e679f,Kisumu,field_officer,5,officers,2026-02-09,2026-05-21,manual,approved,,
ALLOC-d8847fde,PROG-d08e679f,Kisumu,training_capacity,44,seats,2026-02-09,2026-05-21,manual,approved,,
ALLOC-228c6f9f,PROG-d08e679f,Kisumu,budget,323908,KES,2026-02-09,2026-05-21,manual,approved,,
ALLOC-62c21e42,PROG-d08e679f,Kisumu,field_officer,4,officers,2026-02-26,2026-05-28,manual,approved,,
ALLOC-962991a3,PROG-d08e679f,Kisumu,training_capacity,44,seats,2026-02-26,2026-05-28,manual,approved,,
ALLOC-d0a85cce,PROG-d08e679f,Kisumu,field_officer,5,officers,2026-01-27,2026-04-28,manual,approved,,
ALLOC-e8cbe0fd,PROG-d08e679f,Kisumu,training_capacity,77,seats,2026-01-27,2026-04-28,ml_recommended,pending,43.75,Dolor id excepturi mollitia possimus.
ALLOC-639e278d,PROG-d08e679f,Kisumu,budget,1612071,KES,2026-01-27,2026-04-28,manual,approved,,
ALLOC-f8f1224a,PROG-e041816d,Eldoret,field_officer,5,officers,2026-03-19,2026-07-08,manual,approved,,
ALLOC-d65bbdd0,PROG-e041816d,Eldoret,training_capacity,88,seats,2026-03-19,2026-07-08,manual,approved,,
ALLOC-5c3aa31c,PROG-e041816d,Eldoret,budget,251065,KES,2026-03-19,2026-07-08,manual,approved,,
ALLOC-4886ef1b,PROG-e041816d,Eldoret,field_officer,4,officers,2026-03-10,2026-06-09,ml_recommended,approved,36.99,Cum vitae a at corporis.
ALLOC-e0e1a1ac,PROG-e041816d,Eldoret,training_capacity,21,seats,2026-03-10,2026-06-09,manual,approved,,
ALLOC-ba615dda,PROG-e041816d,Eldoret,budget,744533,KES,2026-03-10,2026-06-09,ml_recommended,pending,62.79,Ipsa aperiam dolore aspernatur alias fugit voluptates nostrum maxime quae.
ALLOC-aaa67872,PROG-37d82bff,Eldoret,field_officer,5,officers,2024-09-13,2024-11-19,manual,approved,,
ALLOC-8f73df58,PROG-37d82bff,Eldoret,budget,1801882,KES,2024-09-13,2024-11-19,ml_recommended,approved,48.14,Animi quo cupiditate laudantium ab sed ut maxime deserunt quos.
ALLOC-60e494d4,PROG-37d82bff,Eldoret,field_officer,2,officers,2024-09-28,2025-01-09,manual,approved,,
ALLOC-054386af,PROG-37d82bff,Eldoret,budget,195601,KES,2024-09-28,2025-01-09,manual,approved,,
ALLOC-d735b381,PROG-c737ca62,Eldoret,field_officer,4,officers,2024-10-12,2024-12-18,manual,approved,,
ALLOC-1c847131,PROG-c737ca62,Eldoret,training_capacity,41,seats,2024-10-12,2024-12-18,manual,approved,,
ALLOC-807a5f17,PROG-c737ca62,Eldoret,field_officer,5,officers,2024-09-19,2024-11-26,manual,approved,,
ALLOC-dcbc6573,PROG-c737ca62,Eldoret,training_capacity,82,seats,2024-09-19,2024-11-26,manual,approved,,
ALLOC-97ef0692,PROG-c737ca62,Eldoret,budget,286942,KES,2024-09-19,2024-11-26,manual,approved,,
ALLOC-273b40f3,PROG-c737ca62,Eldoret,field_officer,4,officers,2026-04-08,2026-08-02,manual,approved,,
ALLOC-5a82145c,PROG-c737ca62,Eldoret,training_capacity,54,seats,2026-04-08,2026-08-02,manual,approved,,
ALLOC-7f80354f,PROG-c737ca62,Eldoret,budget,466055,KES,2026-04-08,2026-08-02,manual,approved,,
ALLOC-dec2d32e,PROG-c737ca62,Eldoret,field_officer,4,officers,2024-09-16,2024-12-23,manual,approved,,
ALLOC-e5cf55e3,PROG-c737ca62,Eldoret,training_capacity,58,seats,2024-09-16,2024-12-23,manual,approved,,
ALLOC-34855326,PROG-c737ca62,Eldoret,budget,594170,KES,2024-09-16,2024-12-23,manual,approved,,
ALLOC-d67f6778,PROG-66ed5471,Eldoret,budget,1073531,KES,2025-11-17,2026-02-08,ml_recommended,approved,39.35,Maiores doloremque cumque alias dolores a culpa voluptatum quod explicabo.
ALLOC-72712501,PROG-66ed5471,Eldoret,training_capacity,80,seats,2025-04-14,2025-06-20,manual,approved,,
ALLOC-b3a442e9,PROG-66ed5471,Eldoret,budget,190419,KES,2025-04-14,2025-06-20,manual,approved,,
ALLOC-6b0553f4,PROG-4f9acb42,Eldoret,field_officer,3,officers,2025-10-26,2026-01-07,manual,approved,,
ALLOC-13cb1688,PROG-4f9acb42,Eldoret,budget,318986,KES,2025-10-26,2026-01-07,manual,approved,,
ALLOC-0857e7f6,PROG-4f9acb42,Eldoret,field_officer,1,officers,2026-03-05,2026-05-15,manual,approved,,
ALLOC-2c2e47c3,PROG-4f9acb42,Eldoret,training_capacity,50,seats,2026-03-05,2026-05-15,manual,approved,,
ALLOC-c3452456,PROG-4f9acb42,Eldoret,budget,783613,KES,2026-03-05,2026-05-15,manual,approved,,
ALLOC-51cb551c,PROG-4f9acb42,Eldoret,field_officer,1,officers,2026-05-15,2026-09-09,manual,approved,,
