id,donor_id,program_id,amount_kes,currency,fiscal_year,disbursed_to_date,funding_status
FUND-f73e7190,DONOR-9a615fd3,PROG-a502bbfb,2197674,KES,2024,2192270,completed
FUND-8c9c4eae,DONOR-9a615fd3,PROG-a502bbfb,4212639,KES,2025,4190976,completed
FUND-29cc9e3e,DONOR-9a615fd3,PROG-a0e0d78d,1913585,KES,2026,1013826,active
FUND-b9825367,DONOR-9a615fd3,PROG-7d9bc9c1,4384273,KES,2026,2053391,active
FUND-1c1808f0,DONOR-9a615fd3,PROG-9c31bb5a,6529080,KES,2025,5887566,completed
FUND-f250d3a9,DONOR-9a615fd3,PROG-9c31bb5a,8956530,KES,2026,4363522,active
FUND-e6dbc2ec,DONOR-9a615fd3,PROG-3f636f97,9755703,KES,2025,8958661,completed
FUND-dfde4c80,DONOR-7a4ec3fe,PROG-d3069c0f,3749657,KES,2026,1163006,active
FUND-f0f528f0,DONOR-7a4ec3fe,PROG-5ffcdf85,4855653,KES,2024,4503128,completed
FUND-225052c5,DONOR-7a4ec3fe,PROG-5ffcdf85,2171657,KES,2025,1984798,completed
FUND-2ed72429,DONOR-7a4ec3fe,PROG-c737ca62,4141406,KES,2026,2436039,active
FUND-0cafe364,DONOR-7a4ec3fe,PROG-42104c80,4592830,KES,2026,2601799,active
FUND-7466b508,DONOR-7a4ec3fe,PROG-fc8539a4,7911750,KES,2026,5052020,active
FUND-bd222d05,DONOR-7a4ec3fe,PROG-a0e0d78d,3921572,KES,2025,3443313,completed
FUND-4bcd7272,DONOR-7a4ec3fe,PROG-a0e0d78d,2326589,KES,2026,972652,active
FUND-924ee1be,DONOR-7a4ec3fe,PROG-0a0324fa,9520284,KES,2026,4537794,active
FUND-12f71a30,DONOR-7a4ec3fe,PROG-58440103,5894531,KES,2026,4205201,active
FUND-6f28ffa8,DONOR-29e9ab7f,PROG-9e60e575,3156514,KES,2026,1210805,suspended
FUND-80797e32,DONOR-29e9ab7f,PROG-eb1c24d8,5799538,KES,2026,2493660,active
FUND-651ee5b3,DONOR-29e9ab7f,PROG-4931b340,5783270,KES,2026,4212123,active
FUND-68d25397,DONOR-29e9ab7f,PROG-2b1fc634,4919263,KES,2026,2594651,active
FUND-a9f278e3,DONOR-29e9ab7f,PROG-40c80781,7743651,KES,2026,4026039,active
FUND-a7cd93d1,DONOR-29e9ab7f,PROG-f51b3d73,2258878,KES,2024,1931124,completed
FUND-a4fd54f3,DONOR-29e9ab7f,PROG-7ccb0bcb,2205519,KES,2025,2120337,completed
FUND-e706837b,DONOR-29e9ab7f,PROG-a24f96d3,6611437,KES,2025,5732982,completed
FUND-9b0a1b0f,DONOR-29e9ab7f,PROG-a24f96d3,6555904,KES,2026,4393602,active
FUND-03a14cea,DONOR-29e9ab7f,PROG-eb03aa49,5702451,KES,2024,4934687,completed
FUND-a3127b31,DONOR-29e9ab7f,PROG-e9384c4f,2748681,KES,2025,2444738,completed
FUND-dd597c60,DONOR-29e9ab7f,PROG-e9384c4f,3341592,KES,2026,1318075,suspended
FUND-62e230cd,DONOR-29e9ab7f,PROG-0cf61d24,10183451,KES,2026,5878581,active
FUND-06ab768e,DONOR-29e9ab7f,PROG-e80397c9,3735961,KES,2025,3372162,completed
FUND-fe2a162f,DONOR-29e9ab7f,PROG-e80397c9,4357912,KES,2026,3227252,active
FUND-95310ada,DONOR-29e9ab7f,PROG-7463bbcd,11630451,KES,2026,4198767,active
FUND-e9976a63,DONOR-29e9ab7f,PROG-c518bee3,4251028,KES,2025,3772582,completed
FUND-0bda8fd8,DONOR-29e9ab7f,PROG-c518bee3,2850971,KES,2026,1483236,active
FUND-cebbbc62,DONOR-0ae96fd3,PROG-1b7c4853,10628527,KES,2024,9556038,completed
FUND-c1180c75,DONOR-0ae96fd3,PROG-1b7c4853,4562657,KES,2025,4312742,completed
FUND-0553c476,DONOR-0ae96fd3,PROG-9ce19e72,4837315,KES,2024,4269775,completed
FUND-2b9bd54b,DONOR-0ae96fd3,PROG-9ce19e72,4959661,KES,2025,4415490,completed
FUND-68443eab,DONOR-0ae96fd3,PROG-95ef02ad,5191007,KES,2025,5076096,completed
FUND-81fe37d4,DONOR-0ae96fd3,PROG-95ef02ad,3812172,KES,2026,1314470,active
FUND-3974c352,DONOR-0ae96fd3,PROG-54050097,3350887,KES,2024,3346785,completed
FUND-f604a80f,DONOR-0ae96fd3,PROG-ff2c588f,2053283,KES,2026,1423932,active
FUND-148914ed,DONOR-0ae96fd3,PROG-5859e5a5,4245540,KES,2025,3661197,completed
FUND-34bde494,DONOR-0ae96fd3,PROG-5859e5a5,4221730,KES,2026,2019480,active
FUND-0d5eb466,DONOR-0ae96fd3,PROG-c254e45c,3964140,KES,2024,3370165,completed
FUND-ada8f2f5,DONOR-0ae96fd3,PROG-c254e45c,5999744,KES,2025,5303345,completed
FUND-24abad12,DONOR-0ae96fd3,PROG-89d68327,8764217,KES,2024,8748645,completed
FUND-e45c64d1,DONOR-0ae96fd3,PROG-89d68327,5217531,KES,2025,4490334,completed
FUND-f3c27965,DONOR-0ae96fd3,PROG-915b15d8,10166661,KES,2026,7080521,active
FUND-9d6eb7c2,DONOR-0ae96fd3,PROG-dfe287ef,5147756,KES,2025,4785232,completed
FUND-fdc864d4,DONOR-0ae96fd3,PROG-ab8ae865,9891952,KES,2024,9480099,completed
FUND-2cd2a17f,DONOR-0ae96fd3,PROG-c63f7e98,3269818,KES,2024,2821863,completed
FUND-4ebafecf,DONOR-0ae96fd3,PROG-c63f7e98,2842762,KES,2025,2727634,completed
FUND-b8bf68b2,DONOR-0ae96fd3,PROG-6e13fa05,2819123,KES,2026,1197100,active
FUND-5181ade7,DONOR-0ae96fd3,PROG-b3c8c997,7780177,KES,2025,7602663,completed
FUND-de86f733,DONOR-20aa625a,PROG-520100dc,8044680,KES,2024,7440825,completed
FUND-46ea13b7,DONOR-20aa625a,PROG-520100dc,4202450,KES,2025,4194181,completed
FUND-a566a1f7,DONOR-20aa625a,PROG-520100dc,13535840,KES,2026,6624286,suspended
FUND-34af0806,DONOR-20aa625a,PROG-b4b1c2de,4731153,KES,2024,4438316,completed
FUND-a637a46c,DONOR-20aa625a,PROG-b4b1c2de,2599684,KES,2025,2569494,completed
FUND-cd2c3e19,DONOR-20aa625a,PROG-9847dded,5338456,KES,2025,5108338,completed
FUND-ac269fc8,DONOR-20aa625a,PROG-9847dded,5484896,KES,2026,3226445,active
FUND-867bf959,DONOR-20aa625a,PROG-2baf66ee,4402526,KES,2026,1477310,active
FUND-8af886be,DONOR-20aa625a,PROG-c14cbf07,8481960,KES,2024,7955786,completed
FUND-39000b73,DONOR-20aa625a,PROG-c14cbf07,4109227,KES,2025,3923496,completed
FUND-cb3538db,DONOR-20aa625a,PROG-c14cbf07,7101689,KES,2026,5085395,active
FUND-89a07623,DONOR-20aa625a,PROG-7463bbcd,3923227,KES,2025,3726720,completed
FUND-d14c9e2a,DONOR-20aa625a,PROG-8659089c,3473424,KES,2024,3317901,completed
FUND-e83ea3bf,DONOR-20aa625a,PROG-8659089c,3374327,KES,2025,3129970,completed
FUND-8f89bdd5,DONOR-20aa625a,PROG-4013e47a,6129542,KES,2025,5899479,completed
FUND-3f8a0b94,DONOR-20aa625a,PROG-4013e47a,4492516,KES,2026,2025024,active
FUND-81a438dc,DONOR-20aa625a,PROG-4986a661,2602890,KES,2026,1314040,active
FUND-4bde301d,DONOR-20aa625a,PROG-3c340187,3877692,KES,2026,1437807,active
FUND-d058b5b4,DONOR-20aa625a,PROG-f5f0c50b,4934976,KES,2025,4743089,completed
FUND-ea5f4647,DONOR-20aa625a,PROG-f5f0c50b,3206159,KES,2026,1028189,active
FUND-372136eb,DONOR-20aa625a,PROG-a46ac700,3259001,KES,2026,2155510,active
FUND-dfe832a9,DONOR-20aa625a,PROG-08aa2569,9398941,KES,2024,8339112,completed
FUND-b3375450,DONOR-20aa625a,PROG-08aa2569,13588782,KES,2025,12310366,completed
FUND-307c4cf4,DONOR-20aa625a,PROG-5b5b04ab,12653253,KES,2026,9384111,active
FUND-9b7ddf2a,DONOR-20aa625a,PROG-915b15d8,9212643,KES,2024,8283043,completed
FUND-30661357,DONOR-20aa625a,PROG-915b15d8,10189439,KES,2025,8967732,completed
FUND-d5087192,DONOR-20aa625a,PROG-915b15d8,14447466,KES,2026,5911366,active
FUND-e2cfd79d,DONOR-aa568b30,PROG-40a38dca,3160974,KES,2024,2687521,completed
FUND-159a5cd9,DONOR-aa568b30,PROG-abe72372,12888812,KES,2024,12856169,completed
FUND-6a7323ef,DONOR-aa568b30,PROG-abe72372,6388630,KES,2025,6112308,completed
FUND-27c1f5a5,DONOR-aa568b30,PROG-324998e2,10249378,KES,2024,9416808,completed
FUND-41583e9d,DONOR-aa568b30,PROG-8b682305,6871857,KES,2024,6497907,completed
FUND-e2f21557,DONOR-aa568b30,PROG-8b682305,5308058,KES,2025,5039293,completed
FUND-24ffb0cd,DONOR-aa568b30,PROG-5dd1e686,10592651,KES,2025,10117135,completed
FUND-126be686,DONOR-aa568b30,PROG-f6c7609c,7919346,KES,2024,6820165,completed
FUND-71d57940,DONOR-aa568b30,PROG-f6c7609c,6607356,KES,2025,5720970,completed
FUND-62c34a94,DONOR-aa568b30,PROG-4b1a75a8,5025626,KES,2026,2317966,active
FUND-447defde,DONOR-aa568b30,PROG-e72db8da,5517010,KES,2026,2046408,suspended
FUND-2f216fd4,DONOR-aa568b30,PROG-915b15d8,7607450,KES,2026,5143900,active
FUND-0d15bcbb,DONOR-aa568b30,PROG-397ae435,2765149,KES,2026,1322598,active
FUND-24e41e31,DONOR-aa568b30,PROG-5fb95eae,4182437,KES,2024,4152384,completed
FUND-c5dead55,DONOR-aa568b30,PROG-5fb95eae,5793338,KES,2025,5325853,completed
FUND-baf4fa1f,DONOR-aa568b30,PROG-325861d4,3172669,KES,2025,3091943,completed
FUND-5efd3524,DONOR-aa568b30,PROG-325861d4,3864688,KES,2026,1806772,suspended
FUND-37969eb1,DONOR-aa568b30,PROG-ced96c40,5258076,KES,2025,4486559,completed
FUND-3321cdaf,DONOR-aa568b30,PROG-ced96c40,6160763,KES,2026,2103225,active
FUND-566da857,DONOR-aa568b30,PROG-de40b141,1712389,KES,2025,1566790,completed
FUND-3b55bdba,DONOR-08c21a3c,PROG-feed88eb,7123584,KES,2026,3083068,active
FUND-9090a556,DONOR-08c21a3c,PROG-aaa510cb,6018402,KES,2025,5461413,completed
FUND-06b456cd,DONOR-08c21a3c,PROG-aaa510cb,5516796,KES,2026,3220923,active
FUND-e03a4699,DONOR-08c21a3c,PROG-1f8ed400,3104313,KES,2025,2892219,completed
FUND-ea3c0dd2,DONOR-08c21a3c,PROG-1f8ed400,2942983,KES,2026,1397245,active
FUND-1b45d18c,DONOR-08c21a3c,PROG-68d428ee,3491630,KES,2024,2998572,completed
FUND-b185cf0d,DONOR-08c21a3c,PROG-74e9906c,2999182,KES,2024,2594353,completed
FUND-31961cf8,DONOR-08c21a3c,PROG-74e9906c,2511468,KES,2025,2442259,completed
FUND-a9e2c53c,DONOR-08c21a3c,PROG-74e9906c,4704656,KES,2026,3203529,active
FUND-6bf9af33,DONOR-08c21a3c,PROG-af20e065,4976316,KES,2025,4672153,completed
FUND-0d64d503,DONOR-08c21a3c,PROG-af20e065,7852115,KES,2026,5703788,active
FUND-a7783ed3,DONOR-08c21a3c,PROG-66ed5471,2289509,KES,2026,1005264,active
FUND-d0644d06,DONOR-08c21a3c,PROG-4c6bd4fc,2471171,KES,2024,2295637,completed
FUND-ae6dbfa4,DONOR-08c21a3c,PROG-3a17d4bd,9716988,KES,2024,9304411,completed
FUND-53c6d379,DONOR-08c21a3c,PROG-0634a90b,4714459,KES,2025,4422122,completed
FUND-f6b034cc,DONOR-08c21a3c,PROG-0634a90b,3188268,KES,2026,2191301,active
FUND-9209fb11,DONOR-08c21a3c,PROG-ff57bf40,4455046,KES,2024,3854305,completed
FUND-c3f0b624,DONOR-08c21a3c,PROG-ff57bf40,2853095,KES,2025,2738551,completed
FUND-d3806ebb,DONOR-08c21a3c,PROG-ff57bf40,4821228,KES,2026,2134731,suspended
FUND-50330151,DONOR-faf240b8,PROG-0cf61d24,5981450,KES,2024,5935502,completed
FUND-e4a6274a,DONOR-faf240b8,PROG-0cf61d24,3543292,KES,2025,3331964,completed
FUND-01decd54,DONOR-faf240b8,PROG-5e55f4d1,12324603,KES,2025,10735919,completed
FUND-f6a80518,DONOR-faf240b8,PROG-5e55f4d1,9360633,KES,2026,3515380,active
FUND-e2390123,DONOR-faf240b8,PROG-8abb3b37,11493206,KES,2025,9788871,completed
FUND-59324bc9,DONOR-faf240b8,PROG-8abb3b37,9880098,KES,2026,4105142,active
FUND-7530d38f,DONOR-faf240b8,PROG-828a29a3,10352113,KES,2024,10304134,completed
FUND-891340a4,DONOR-faf240b8,PROG-828a29a3,9353742,KES,2025,8716786,completed
FUND-c711747b,DONOR-faf240b8,PROG-db4ffd29,6728923,KES,2025,6175086,completed
FUND-03236247,DONOR-faf240b8,PROG-4f9acb42,2736936,KES,2025,2433599,completed
FUND-0ed6856d,DONOR-faf240b8,PROG-4f9acb42,1811219,KES,2026,1267073,active
FUND-04d74947,DONOR-faf240b8,PROG-e68415d3,2629165,KES,2025,2469061,completed
FUND-8983b59a,DONOR-faf240b8,PROG-28089117,3519979,KES,2024,3489589,completed
FUND-8efcb5c8,DONOR-faf240b8,PROG-28089117,10284673,KES,2025,8824593,completed
FUND-cae79adb,DONOR-faf240b8,PROG-c0a36c24,7450404,KES,2026,3232211,active
FUND-114842eb,DONOR-faf240b8,PROG-9c31bb5a,6576811,KES,2024,5644060,completed
FUND-d596b294,DONOR-faf240b8,PROG-af20e065,2735079,KES,2024,2364607,completed
FUND-fb7818db,DONOR-faf240b8,PROG-ff2c588f,2723945,KES,2025,2660110,completed
FUND-890f31c9,DONOR-faf240b8,PROG-7ccb0bcb,3475284,KES,2026,1185112,suspended
